label,desc,thr,n,n_pos,pred_pos,tp,fp,fn,prevalence,alert_rate,ppv,ppv_lo,ppv_hi,recall,rec_lo,rec_hi,f1,baseline_ppv,baseline_recall,baseline_f1,op
W1830,,,7211,152.0,466.0,34,432,116,0.0210172341319882,0.06462349188739426,0.07296137339055794,0.0526788536858844,0.1002268924375351,0.2236842105263158,0.16471679265781417,0.2962738793003613,0.11003236245954694,0.0210172341319882,0.06462349188739426,0.03171871894492374,ppv30
N179,,,7211,153.0,428.0,26,402,125,0.0211573490262014,0.05935376508112606,0.06074766355140187,0.04178971554241474,0.08752037657609159,0.16993464052287582,0.11868748072251153,0.2373501335701084,0.08950086058519793,0.0211573490262014,0.05935376508112606,0.03119490613846218,ppv30
R531,,,7211,144.0,639.0,33,606,110,0.0200364298724954,0.08861461655803633,0.051643192488262914,0.037006347158135396,0.07163857277098637,0.22916666666666666,0.1680899227321394,0.30431788072033883,0.0842911877394636,0.0200364298724954,0.08861461655803633,0.032682990337849716,ppv30
R1013,,,7211,164.0,688.0,40,648,122,0.0226986128625472,0.09540979059769795,0.05813953488372093,0.04298413092571751,0.07820181095699276,0.24390243902439024,0.18453258200855882,0.3149951235404162,0.09389671361502347,0.0226986128625472,0.09540979059769795,0.03667257936989722,ppv30
K922,,,7211,171.0,1194.0,54,1140,115,0.02367941712204,0.16558036333379558,0.04522613065326633,0.03482680097030768,0.05854236570622807,0.3157894736842105,0.25081795376058963,0.3888556086488349,0.07912087912087912,0.02367941712204,0.16558036333379558,0.04143348873338492,ppv30
R5383,,,7211,148.0,1188.0,41,1147,105,0.0204567745551352,0.1647483012064901,0.034511784511784514,0.02554082042559245,0.0464834057710971,0.27702702702702703,0.21126209430321752,0.35407401012701056,0.06137724550898205,0.0204567745551352,0.1647483012064901,0.03639445455005169,ppv30
R509,,,7211,144.0,314.0,30,284,113,0.0200364298724954,0.04354458466232145,0.09554140127388536,0.06774496351009632,0.13311448087317845,0.20833333333333334,0.1500109814745541,0.281812806858884,0.13100436681222707,0.0200364298724954,0.04354458466232145,0.027444608215107205,ppv30
D649,,,7211,136.0,395.0,21,374,114,0.0189155107187894,0.05477742338094578,0.053164556962025315,0.035032687897426876,0.07990385595194993,0.15441176470588236,0.10326798450326716,0.22454223148906186,0.0790960451977401,0.0189155107187894,0.05477742338094578,0.02812055054579971,ppv30
R112,,,7211,130.0,919.0,22,897,107,0.0180748213535098,0.12744418249895992,0.023939064200217627,0.01586134895258165,0.03598012215105849,0.16923076923076924,0.11449563024308644,0.24295309485476824,0.04194470924690181,0.0180748213535098,0.12744418249895992,0.031659518966308614,ppv30
E8889,,,7211,120.0,286.0,16,270,103,0.0166736724113773,0.03966162806822909,0.055944055944055944,0.03472554072625389,0.08893330009840149,0.13333333333333333,0.08376608962687311,0.20564796574684285,0.07881773399014778,0.0166736724113773,0.03966162806822909,0.02347746397308856,ppv30
R0689,,,7211,132.0,728.0,34,694,97,0.0183550511419363,0.10095687144640134,0.046703296703296704,0.03361142457368482,0.06455390612028962,0.25757575757575757,0.1905746350749768,0.338287903978894,0.07906976744186046,0.0183550511419363,0.10095687144640134,0.03106258785087613,ppv30
R1030,,,7211,101.0,448.0,13,435,87,0.0140114894213254,0.062127305505477744,0.029017857142857144,0.017035229685112195,0.0490088621929999,0.12871287128712872,0.07678714443671886,0.20784699892951097,0.04735883424408015,0.0140114894213254,0.062127305505477744,0.022866032610637285,ppv30
E860,,,7211,110.0,332.0,10,322,99,0.0152725234692447,0.04604077104423797,0.030120481927710843,0.016441587407542743,0.054548631919199425,0.09090909090909091,0.05013032897110753,0.15929652718193588,0.04524886877828054,0.0152725234692447,0.04604077104423797,0.022936583717928352,ppv30
R05,,,7211,104.0,241.0,3,238,100,0.0144318341039652,0.033421162113437805,0.012448132780082987,0.004242353590277581,0.03595287669505316,0.028846153846153848,0.009858182902777006,0.08140040102511037,0.017391304347826087,0.0144318341039652,0.033421162113437805,0.020158765607552483,ppv30
R000,,,7211,93.0,132.0,21,111,71,0.0128905702676194,0.01830536680072112,0.1590909090909091,0.10647288808477345,0.23099005745973233,0.22580645161290322,0.15270154318255835,0.32066450663678026,0.18666666666666665,0.0128905702676194,0.01830536680072112,0.015128035199091089,ppv30
N186,,,7211,68.0,21.0,2,19,65,0.009387697912288,0.0029122174455692693,0.09523809523809523,0.02651876743807452,0.2891413907391826,0.029411764705882353,0.008103179543129883,0.10104631365223063,0.04494382022471909,0.009387697912288,0.0029122174455692693,0.004445399311863552,ppv30
J441,,,7211,78.0,739.0,19,720,58,0.0107888468544206,0.10248231867979475,0.02571041948579161,0.01652036017343937,0.039805869769515057,0.24358974358974358,0.16185238513667277,0.3493977736900935,0.04651162790697675,0.0107888468544206,0.10248231867979475,0.019522462513873386,ppv30
R197,,,7211,81.0,505.0,5,500,75,0.0112091915370603,0.07003189571488004,0.009900990099009901,0.004236317655323571,0.022965590877785144,0.06172839506172839,0.02665251209702916,0.13649247636842118,0.017064846416382257,0.0112091915370603,0.07003189571488004,0.019325219770560714,ppv30
X58XX,,,7211,89.0,305.0,19,286,69,0.0123301106907664,0.0422964914713632,0.06229508196721312,0.040240007878466655,0.09523875517512409,0.21348314606741572,0.1411479650217861,0.309528482248426,0.09644670050761422,0.0123301106907664,0.0422964914713632,0.019094009183478526,ppv30
I959,,,7211,78.0,462.0,12,450,65,0.0107888468544206,0.06406878380252393,0.025974025974025976,0.01491950048013629,0.04484645270740624,0.15384615384615385,0.09025504908387116,0.24993266533226338,0.04444444444444445,0.0107888468544206,0.06406878380252393,0.018467811244578542,ppv30
F329,,,7211,91.0,229.0,14,215,76,0.0126103404791929,0.03175703785882679,0.0611353711790393,0.036762803552241964,0.09998886851666783,0.15384615384615385,0.09391213405915474,0.24182140712237774,0.08750000000000001,0.0126103404791929,0.03175703785882679,0.018052320196131722,ppv30
R4585,,,7211,88.0,650.0,36,614,51,0.0121899957965531,0.09014006379142976,0.055384615384615386,0.04027118988171004,0.07572246239828781,0.4090909090909091,0.3122675920054905,0.5135191473881263,0.0975609756097561,0.0121899957965531,0.09014006379142976,0.021475742379956465,ppv30
R001,,,7211,59.0,,0,4,58,0.0081266638643687,,0.0,0.0,0.4898908364545973,0.0,0.0,0.061129370526788386,,0.0081266638643687,,,ppv30
A419,,,7211,67.0,164.0,17,147,49,0.0092475830180748,0.022743031479683817,0.10365853658536585,0.06573150818853768,0.15972803611344757,0.2537313432835821,0.16487913818578948,0.3692919453950009,0.1471861471861472,0.0092475830180748,0.022743031479683817,0.013148735964781192,ppv30
